la_code,la_name,2G premises (outdoor): no reliable signal by LA (%),2G premises (outdoor): signal from 1 operator by LA (%),2G premises (outdoor): signal from 2 operators by LA (%),2G premises (outdoor): signal from all operators by LA (%),2G premises (indoor): no reliable signal by LA (%),2G premises (indoor): signal from 1 operator by LA (%),2G premises (indoor): signal from 2 operators by LA (%),2G premises (indoor): signal from all operators by LA (%),2G geographic (outdoor): no reliable signal by LA (%),2G geographic (outdoor): signal from 1 operator by LA (%),2G geographic (outdoor): signal from 2 operators by LA (%),2G geographic (outdoor): signal from all operators by LA (%),2G geographic (indoor): no reliable signal by LA (%),2G geographic (indoor): signal from 1 operator by LA (%),2G geographic (indoor): signal from 2 operators by LA (%),2G geographic (indoor): signal from all operators by LA (%),2G roads: no reliable signal by LA (%),2G roads: signal from 1 operator by LA (%),2G roads: signal from 2 operators by LA (%),2G roads: signal from all operators by LA (%),2G motorways: no reliable signal by LA (%),2G motorways: signal from 1 operator by LA (%),2G motorways: signal from 2 operators by LA (%),2G motorways: signal from all operators by LA (%),3G premises (outdoor): no reliable signal by LA (%),3G premises (outdoor): signal from 1 operator by LA (%),3G premises (outdoor): signal from 2 operators by LA (%),3G premises (outdoor): signal from 3 operators by LA (%),3G premises (outdoor): signal from all operators by LA (%),3G premises (indoor): no reliable signal by LA (%),3G premises (indoor): signal from 1 operator by LA (%),3G premises (indoor): signal from 2 operators by LA (%),3G premises (indoor): signal from 3 operators by LA (%),3G premises (indoor): signal from all operators by LA (%),3G geographic (outdoor): no reliable signal by LA (%),3G geographic (outdoor): signal from 1 operator by LA (%),3G geographic (outdoor): signal from 2 operators by LA (%),3G geographic (outdoor): signal from 3 operators by LA (%),3G geographic (outdoor): signal from all operators by LA (%),3G geographic (indoor): no reliable signal by LA (%),3G geographic (indoor): signal from 1 operator by LA (%),3G geographic (indoor): signal from 2 operators by LA (%),3G geographic (indoor): signal from 3 operators by LA (%),3G geographic (indoor): signal from all operators by LA (%),3G roads: no reliable signal by LA (%),3G roads: signal from 1 operator by LA (%),3G roads: signal from 2 operators by LA (%),3G roads: signal from 3 operators by LA (%),3G roads: signal from all operators by LA (%),3G motorways: no reliable signal by LA (%),3G motorways: signal from 1 operator by LA (%),3G motorways: signal from 2 operators by LA (%),3G motorways: signal from 3 operators by LA (%),3G motorways: signal from all operators by LA (%),4G premises (outdoor): no reliable signal by LA (%),4G premises (outdoor): signal from 1 operator by LA (%),4G premises (outdoor): signal from 2 operators by LA (%),4G premises (outdoor): signal from 3 operators by LA (%),4G premises (outdoor): signal from all operators by LA (%),4G premises (indoor): no reliable signal by LA (%),4G premises (indoor): signal from 1 operator by LA (%),4G premises (indoor): signal from 2 operators by LA (%),4G premises (indoor): signal from 3 operators by LA (%),4G premises (indoor): signal from all operators by LA (%),4G geographic (outdoor): no reliable signal by LA (%),4G geographic (outdoor): signal from 1 operator by LA (%),4G geographic (outdoor): signal from 2 operators by LA (%),4G geographic (outdoor): signal from 3 operators by LA (%),4G geographic (outdoor): signal from all operators by LA (%),4G geographic (indoor): no reliable signal by LA (%),4G geographic (indoor): signal from 1 operator by LA (%),4G geographic (indoor): signal from 2 operators by LA (%),4G geographic (indoor): signal from 3 operators by LA (%),4G geographic (indoor): signal from all operators by LA (%),4G roads: no reliable signal by LA (%),4G roads: signal from 1 operator by LA (%),4G roads: signal from 2 operators by LA (%),4G roads: signal from 3 operators by LA (%),4G roads: signal from all operators by LA (%),4G motorways: no reliable signal by LA (%),4G motorways: signal from 1 operator by LA (%),4G motorways: signal from 2 operators by LA (%),4G motorways: signal from 3 operators by LA (%),4G motorways: signal from all operators by LA (%)
95-AJ,Derry And Strabane,1.50%,2.13%,8.75%,87.63%,6.20%,6.73%,34.12%,52.96%,14.47%,14.24%,16.58%,54.72%,37.40%,19.94%,18.58%,24.09%,37.40%,19.94%,18.58%,24.09%,0.00%,0.00%,15.38%,84.62%,0.53%,0.32%,1.36%,6.38%,91.40%,1.40%,1.42%,11.24%,25.12%,60.82%,4.99%,4.06%,8.85%,17.12%,64.97%,14.77%,9.73%,19.36%,19.83%,36.31%,11.50%,5.34%,14.98%,21.89%,46.29%,0.00%,0.00%,1.10%,13.19%,85.71%,0.66%,0.72%,1.69%,8.12%,88.81%,1.38%,2.27%,4.58%,15.76%,76.00%,9.46%,9.31%,9.85%,22.61%,48.76%,17.80%,13.32%,16.97%,21.94%,29.97%,10.73%,5.70%,16.68%,28.75%,38.14%,0.00%,0.00%,0.00%,0.00%,100.00%
18-00,Devon County,2.08%,4.88%,11.77%,81.27%,10.98%,15.26%,24.92%,48.84%,10.20%,13.40%,20.54%,55.86%,31.70%,25.13%,22.10%,21.07%,31.70%,25.13%,22.10%,21.07%,0.21%,6.42%,24.41%,68.95%,1.65%,2.73%,12.09%,16.19%,67.34%,7.00%,8.49%,19.19%,19.89%,45.44%,5.10%,7.92%,18.91%,20.92%,47.15%,19.81%,18.80%,27.54%,17.51%,16.34%,9.04%,11.97%,32.21%,21.39%,25.39%,0.00%,1.07%,27.19%,26.55%,45.18%,4.29%,13.22%,23.30%,13.72%,45.47%,11.45%,24.46%,20.10%,14.25%,29.75%,9.91%,22.01%,26.95%,17.91%,23.21%,25.86%,33.99%,22.96%,9.42%,7.78%,15.44%,34.91%,24.79%,12.31%,12.56%,0.43%,6.64%,44.97%,23.98%,23.98%
00-CE,Doncaster District,0.00%,0.09%,1.39%,98.52%,0.83%,3.73%,25.28%,70.16%,0.25%,0.82%,5.58%,93.35%,8.43%,11.86%,24.02%,55.69%,8.43%,11.86%,24.02%,55.69%,0.00%,2.10%,13.40%,84.49%,0.00%,0.00%,0.03%,1.60%,98.37%,0.02%,0.57%,4.96%,18.24%,76.22%,0.00%,0.00%,0.55%,4.11%,95.34%,0.71%,2.69%,9.23%,29.48%,57.89%,0.16%,1.67%,6.99%,23.46%,67.73%,0.00%,0.00%,0.79%,17.21%,82.00%,0.00%,0.00%,0.01%,1.32%,98.68%,0.00%,0.53%,3.98%,9.11%,86.38%,0.00%,0.04%,0.21%,2.59%,97.16%,0.06%,1.26%,5.27%,15.34%,78.07%,0.04%,1.23%,5.48%,11.51%,81.74%,0.00%,0.00%,0.13%,5.65%,94.22%
19-00,Dorset County,1.01%,2.95%,12.36%,83.68%,8.62%,14.40%,36.94%,40.04%,4.10%,9.69%,24.52%,61.70%,23.49%,27.04%,29.90%,19.57%,23.49%,27.04%,29.90%,19.57%,,,,,0.73%,1.08%,6.99%,8.01%,83.18%,3.42%,5.71%,15.62%,26.36%,48.89%,1.26%,3.17%,11.51%,18.43%,65.63%,10.06%,13.08%,25.18%,22.71%,28.97%,6.11%,8.93%,19.96%,23.40%,41.60%,,,,,,2.37%,8.76%,11.69%,15.46%,61.72%,9.40%,13.44%,20.68%,18.60%,37.88%,3.60%,13.77%,14.37%,21.78%,46.48%,17.84%,25.26%,20.04%,19.08%,17.77%,14.22%,20.99%,19.53%,20.13%,25.13%,,,,,
00-CR,Dudley District,0.00%,0.00%,0.14%,99.86%,0.41%,1.73%,17.05%,80.81%,0.00%,0.00%,0.32%,99.68%,0.59%,2.36%,15.38%,81.67%,0.59%,2.36%,15.38%,81.67%,0.00%,0.00%,20.41%,79.59%,0.00%,0.00%,0.00%,0.34%,99.66%,0.00%,0.00%,1.65%,11.07%,87.28%,0.00%,0.00%,0.00%,0.65%,99.35%,0.00%,0.04%,1.34%,12.21%,86.41%,0.00%,0.00%,0.65%,9.14%,90.21%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.11%,3.92%,95.97%,0.00%,0.00%,0.00%,0.01%,99.99%,0.00%,0.01%,0.16%,4.90%,94.92%,0.00%,0.00%,0.00%,2.33%,97.67%,0.00%,0.00%,0.00%,6.12%,93.88%
00-QH,Dumfries and Galloway,2.91%,5.12%,15.78%,76.19%,13.11%,18.46%,31.51%,36.92%,25.10%,19.10%,20.98%,34.82%,54.01%,21.09%,14.47%,10.43%,54.01%,21.09%,14.47%,10.43%,0.39%,3.42%,18.16%,78.03%,6.24%,4.39%,18.24%,17.76%,53.37%,12.39%,11.30%,21.57%,30.25%,24.49%,32.50%,15.58%,22.28%,13.66%,15.98%,51.73%,14.77%,19.18%,7.99%,6.32%,37.05%,14.28%,24.40%,12.86%,11.40%,0.00%,2.37%,11.45%,19.87%,66.32%,25.24%,22.68%,6.59%,33.45%,12.05%,34.09%,30.70%,14.99%,17.80%,2.42%,55.99%,23.52%,5.95%,7.56%,6.98%,70.56%,17.52%,5.10%,4.57%,2.25%,60.15%,19.89%,7.20%,8.37%,4.39%,6.32%,7.24%,13.55%,43.42%,29.47%
00-QJ,Dundee City,0.00%,0.00%,0.56%,99.44%,0.00%,0.77%,21.75%,77.48%,0.00%,0.02%,0.78%,99.21%,0.68%,1.45%,19.65%,78.22%,0.68%,1.45%,19.65%,78.22%,,,,,0.00%,0.00%,0.00%,0.05%,99.95%,0.00%,0.00%,1.47%,7.78%,90.75%,0.00%,0.00%,0.00%,1.09%,98.91%,0.00%,0.33%,1.90%,9.71%,88.06%,0.00%,0.00%,0.30%,7.09%,92.61%,,,,,,0.00%,0.00%,0.00%,0.09%,99.91%,0.00%,0.00%,0.04%,5.45%,94.51%,0.00%,0.00%,0.13%,0.63%,99.24%,0.66%,0.45%,0.55%,7.13%,91.21%,0.15%,0.30%,0.15%,3.25%,96.16%,,,,,
00-QK,East Ayrshire,0.11%,2.83%,12.28%,84.78%,3.64%,19.19%,36.89%,40.28%,16.48%,14.67%,20.60%,48.25%,42.35%,22.32%,19.06%,16.27%,42.35%,22.32%,19.06%,16.27%,0.00%,6.25%,32.14%,61.61%,0.67%,0.82%,18.26%,13.71%,66.54%,3.32%,6.21%,30.89%,14.31%,45.28%,17.96%,10.91%,23.81%,19.82%,27.50%,38.12%,18.57%,26.03%,10.36%,6.91%,14.12%,15.85%,34.79%,15.34%,19.90%,8.04%,23.21%,59.82%,8.04%,0.89%,14.87%,19.08%,6.69%,6.13%,53.24%,30.29%,12.56%,11.43%,10.60%,35.13%,36.00%,18.40%,15.15%,10.93%,19.53%,57.20%,17.08%,13.84%,5.93%,5.95%,38.73%,17.43%,17.84%,9.29%,16.70%,36.61%,45.54%,16.96%,0.89%,0.00%
00-QL,East Dunbartonshire,0.02%,0.05%,1.98%,97.95%,0.15%,4.75%,17.25%,77.84%,2.76%,3.48%,8.08%,85.68%,13.27%,11.35%,26.76%,48.61%,13.27%,11.35%,26.76%,48.61%,,,,,0.00%,0.01%,0.05%,1.48%,98.45%,0.09%,0.66%,4.29%,6.99%,87.97%,0.76%,2.86%,3.29%,7.44%,85.66%,6.75%,6.29%,9.65%,23.66%,53.65%,4.16%,3.82%,7.12%,15.18%,69.72%,,,,,,0.00%,0.02%,1.43%,4.57%,93.98%,0.08%,1.64%,7.78%,38.34%,52.16%,3.86%,2.99%,3.39%,6.44%,83.32%,9.55%,6.29%,8.53%,22.12%,53.50%,5.26%,5.94%,9.50%,26.38%,52.93%,,,,,
00-QM,East Lothian,0.40%,1.25%,5.95%,92.40%,5.52%,6.84%,28.31%,59.32%,12.52%,7.96%,18.52%,61.00%,35.25%,18.41%,23.07%,23.26%,35.25%,18.41%,23.07%,23.26%,,,,,0.04%,0.13%,2.72%,6.60%,90.51%,1.38%,3.21%,13.75%,16.10%,65.56%,6.47%,4.33%,6.90%,12.93%,69.37%,17.00%,12.22%,18.99%,20.31%,31.48%,4.57%,6.40%,17.74%,21.07%,50.21%,,,,,,1.22%,2.10%,10.94%,23.32%,62.42%,5.99%,9.43%,15.42%,20.23%,48.93%,12.13%,7.70%,17.15%,27.60%,35.42%,26.39%,16.26%,22.22%,18.00%,17.12%,8.45%,12.42%,22.65%,23.19%,33.29%,,,,,
00-QN,East Renfrewshire,0.01%,0.03%,0.89%,99.07%,0.14%,1.34%,22.79%,75.73%,1.99%,3.88%,16.66%,77.47%,15.11%,14.38%,28.19%,42.33%,15.11%,14.38%,28.19%,42.33%,0.00%,0.81%,17.89%,81.30%,0.00%,0.01%,0.01%,0.35%,99.63%,0.04%,0.04%,0.56%,5.01%,94.35%,0.69%,1.64%,5.77%,17.07%,74.84%,9.23%,8.63%,15.77%,21.01%,45.36%,3.46%,5.31%,9.58%,12.59%,69.05%,0.00%,1.63%,34.96%,18.70%,44.72%,0.01%,0.00%,0.03%,1.65%,98.32%,0.26%,0.19%,0.92%,26.17%,72.46%,1.06%,2.66%,5.29%,14.16%,76.83%,10.04%,8.50%,14.47%,22.39%,44.60%,4.62%,3.46%,12.59%,27.48%,51.85%,0.00%,0.00%,48.78%,9.76%,41.46%
00-FB,East Riding of Yorkshire,0.36%,3.19%,12.01%,84.45%,7.40%,13.91%,30.52%,48.17%,2.02%,6.76%,19.01%,72.21%,23.74%,27.83%,26.64%,21.79%,23.74%,27.83%,26.64%,21.79%,0.00%,6.20%,29.78%,64.02%,0.39%,0.76%,2.84%,7.58%,88.43%,3.03%,3.98%,12.50%,18.81%,61.69%,0.59%,1.51%,4.15%,14.64%,79.11%,6.77%,9.76%,23.02%,29.39%,31.07%,5.53%,7.48%,19.23%,29.09%,38.67%,0.00%,0.00%,0.74%,22.58%,76.67%,0.39%,1.56%,7.44%,16.41%,74.19%,4.96%,10.60%,20.50%,24.02%,39.92%,0.97%,3.03%,5.69%,18.35%,71.95%,6.79%,16.25%,24.04%,24.99%,27.93%,7.36%,14.15%,21.93%,26.41%,30.16%,0.00%,3.23%,7.44%,21.09%,68.24%
21-00,East Sussex County,0.25%,1.34%,6.46%,91.95%,4.55%,8.85%,29.22%,57.39%,3.69%,8.88%,17.89%,69.54%,22.60%,24.39%,24.64%,28.37%,22.60%,24.39%,24.64%,28.37%,,,,,0.02%,0.12%,0.77%,5.11%,93.97%,0.64%,1.67%,7.53%,19.64%,70.52%,0.36%,1.22%,4.05%,13.31%,81.06%,6.19%,8.66%,16.28%,27.38%,41.49%,1.27%,3.98%,12.96%,26.05%,55.73%,,,,,,0.03%,0.47%,1.50%,6.84%,91.16%,0.97%,3.75%,8.53%,22.55%,64.20%,0.33%,2.07%,5.31%,13.58%,78.71%,4.91%,12.38%,16.84%,24.95%,40.92%,0.97%,5.81%,14.05%,26.95%,52.22%,,,,,
22-00,Essex County,0.25%,1.61%,5.77%,92.37%,4.43%,9.71%,26.86%,58.99%,1.34%,4.65%,15.75%,78.26%,18.64%,21.49%,24.31%,35.55%,18.64%,21.49%,24.31%,35.55%,0.00%,1.04%,8.39%,90.57%,0.01%,0.09%,1.89%,4.62%,93.39%,1.25%,2.74%,8.65%,14.73%,72.64%,0.06%,0.46%,3.34%,13.82%,82.31%,5.19%,10.65%,18.82%,28.42%,36.93%,2.31%,6.25%,15.46%,24.38%,51.60%,0.00%,0.31%,0.83%,7.36%,91.50%,0.48%,1.91%,2.20%,5.77%,89.63%,4.85%,3.77%,8.32%,15.56%,67.49%,0.41%,2.35%,5.87%,12.17%,79.21%,9.16%,13.31%,17.91%,18.15%,41.47%,7.41%,8.32%,14.80%,17.56%,51.92%,0.31%,2.49%,2.49%,14.30%,80.41%
00-QQ,Falkirk,0.01%,0.85%,2.12%,97.02%,1.25%,2.54%,22.96%,73.25%,1.18%,5.47%,12.72%,80.64%,11.78%,16.98%,19.68%,51.56%,11.78%,16.98%,19.68%,51.56%,0.00%,0.00%,7.97%,92.03%,0.00%,0.12%,0.63%,1.38%,97.87%,0.20%,0.48%,2.93%,8.77%,87.62%,0.20%,1.28%,2.18%,7.81%,88.53%,3.48%,5.16%,9.32%,20.88%,61.16%,2.55%,3.01%,5.68%,16.90%,71.87%,0.00%,0.00%,0.00%,6.50%,93.50%,0.01%,0.60%,0.37%,2.26%,96.77%,0.37%,1.06%,5.98%,16.72%,75.87%,0.39%,1.99%,3.03%,8.25%,86.33%,1.95%,7.86%,10.06%,20.15%,59.98%,1.92%,5.26%,6.84%,19.20%,66.78%,0.00%,0.00%,0.84%,19.71%,79.45%
95-LK,Fermanagh And Omagh,3.19%,7.67%,20.72%,68.42%,20.00%,19.67%,33.88%,26.46%,9.49%,13.84%,21.59%,55.07%,37.29%,25.93%,20.68%,16.10%,37.29%,25.93%,20.68%,16.10%,,,,,0.87%,2.70%,7.15%,17.79%,71.49%,7.07%,8.86%,21.37%,23.57%,39.14%,4.44%,4.56%,11.04%,22.01%,57.96%,14.89%,14.09%,21.70%,22.87%,26.44%,9.52%,12.93%,21.90%,26.32%,29.33%,,,,,,1.87%,4.40%,9.62%,20.12%,63.99%,8.00%,14.73%,16.11%,31.39%,29.77%,6.32%,9.46%,15.96%,26.89%,41.38%,16.40%,21.38%,18.75%,25.96%,17.51%,11.71%,19.79%,18.19%,32.21%,18.11%,,,,,
00-QR,Fife,0.14%,0.91%,6.74%,92.22%,3.23%,8.86%,32.07%,55.84%,0.86%,4.54%,16.19%,78.41%,13.76%,21.04%,30.24%,34.96%,13.76%,21.04%,30.24%,34.96%,0.00%,1.47%,7.35%,91.18%,0.02%,0.11%,1.65%,4.38%,93.85%,1.11%,2.05%,8.41%,16.30%,72.13%,0.29%,0.93%,4.49%,14.34%,79.95%,4.69%,8.20%,20.24%,24.11%,42.76%,4.62%,6.76%,18.03%,20.82%,49.76%,0.49%,0.00%,1.47%,8.82%,89.22%,1.34%,1.29%,2.35%,8.96%,86.06%,3.00%,3.72%,7.90%,24.92%,60.46%,2.70%,5.35%,9.13%,18.76%,64.07%,11.70%,14.42%,17.10%,20.31%,36.47%,10.31%,10.93%,15.16%,20.85%,42.75%,0.49%,0.00%,0.49%,7.84%,91.18%
00-NJ,Sir y Fflint - Flintshire,1.07%,4.51%,12.62%,81.80%,8.51%,21.03%,39.35%,31.11%,3.44%,7.44%,16.89%,72.23%,17.81%,24.37%,32.00%,25.82%,17.81%,24.37%,32.00%,25.82%,,,,,0.53%,0.91%,3.64%,7.11%,87.81%,2.92%,4.86%,17.50%,26.22%,48.50%,0.68%,2.40%,10.84%,16.89%,69.19%,5.48%,9.90%,27.15%,25.04%,32.43%,4.82%,8.11%,18.50%,28.74%,39.82%,,,,,,1.47%,4.36%,9.38%,30.19%,54.60%,8.76%,14.61%,31.29%,28.21%,17.14%,2.71%,11.04%,19.23%,18.59%,48.43%,9.81%,25.07%,27.65%,22.39%,15.09%,10.05%,17.75%,25.23%,29.46%,17.50%,,,,,
00-CH,Gateshead District,0.00%,0.24%,0.81%,98.95%,1.09%,3.52%,21.76%,73.64%,0.25%,1.87%,5.45%,92.43%,6.52%,8.62%,25.00%,59.86%,6.52%,8.62%,25.00%,59.86%,0.00%,0.00%,21.67%,78.33%,0.00%,0.00%,0.00%,1.53%,98.47%,0.00%,0.06%,1.42%,8.07%,90.46%,0.00%,0.01%,0.27%,4.25%,95.47%,0.25%,1.32%,4.84%,12.80%,80.79%,0.00%,0.53%,0.53%,7.22%,91.72%,0.00%,0.00%,1.67%,23.33%,75.00%,0.00%,0.00%,0.29%,1.46%,98.25%,0.10%,0.74%,1.41%,3.82%,93.93%,0.03%,0.06%,1.33%,3.43%,95.16%,0.58%,2.16%,5.16%,8.36%,83.74%,0.08%,0.30%,1.05%,7.15%,91.42%,0.00%,0.00%,0.00%,0.00%,100.00%
00-QS,Glasgow City,0.00%,0.00%,0.06%,99.94%,0.00%,0.04%,6.15%,93.81%,0.00%,0.00%,0.07%,99.93%,0.07%,0.46%,7.19%,92.27%,0.07%,0.46%,7.19%,92.27%,0.00%,0.18%,4.66%,95.16%,0.00%,0.00%,0.00%,0.03%,99.97%,0.00%,0.00%,0.13%,2.18%,97.69%,0.00%,0.00%,0.00%,0.11%,99.89%,0.00%,0.00%,0.15%,5.40%,94.45%,0.00%,0.00%,0.46%,3.83%,95.72%,0.00%,0.00%,0.00%,4.12%,95.88%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,1.77%,98.23%,0.00%,0.00%,0.00%,0.05%,99.95%,0.00%,0.00%,0.02%,3.01%,96.97%,0.00%,0.00%,0.09%,2.37%,97.54%,0.00%,0.00%,0.00%,1.43%,98.57%
23-00,Gloucestershire County,1.15%,2.61%,6.65%,89.60%,7.95%,10.89%,30.20%,50.97%,4.45%,6.50%,13.39%,75.65%,23.30%,22.46%,25.32%,28.93%,23.30%,22.46%,25.32%,28.93%,0.12%,5.79%,20.31%,73.79%,0.39%,0.83%,3.13%,7.96%,87.69%,2.81%,3.75%,12.77%,17.77%,62.90%,1.08%,2.11%,5.80%,12.72%,78.29%,6.54%,8.19%,17.84%,29.10%,38.33%,4.38%,5.72%,15.99%,27.28%,46.63%,0.00%,0.00%,1.53%,18.89%,79.57%,1.44%,3.76%,6.78%,9.80%,78.22%,6.38%,9.42%,10.96%,18.31%,54.92%,1.75%,6.02%,9.60%,17.28%,65.34%,9.21%,18.96%,20.91%,22.18%,28.74%,7.71%,16.49%,18.09%,22.45%,35.25%,0.59%,12.28%,11.69%,12.40%,63.05%
00-NC,Gwynedd - Gwynedd,3.07%,6.61%,17.98%,72.35%,15.01%,17.92%,31.72%,35.34%,25.77%,14.80%,20.71%,38.71%,48.63%,22.00%,16.62%,12.76%,48.63%,22.00%,16.62%,12.76%,,,,,5.35%,5.63%,34.61%,25.71%,28.70%,14.80%,16.42%,36.18%,19.61%,12.99%,28.71%,14.31%,30.87%,13.75%,12.35%,47.03%,17.65%,25.45%,7.24%,2.62%,34.11%,18.33%,34.50%,7.86%,5.19%,,,,,,40.53%,18.76%,16.52%,15.64%,8.55%,50.95%,21.18%,18.31%,6.89%,2.67%,68.51%,17.70%,4.74%,5.41%,3.64%,80.01%,13.01%,3.59%,1.81%,1.58%,74.42%,15.02%,5.63%,2.23%,2.70%,,,,,
00-ET,Halton,0.00%,0.28%,0.74%,98.97%,0.74%,1.41%,22.34%,75.52%,0.00%,0.15%,1.66%,98.19%,1.32%,5.63%,23.18%,69.87%,1.32%,5.63%,23.18%,69.87%,0.00%,0.00%,7.32%,92.68%,0.00%,0.00%,0.00%,0.03%,99.97%,0.00%,0.00%,0.61%,8.41%,90.98%,0.00%,0.00%,0.00%,0.61%,99.39%,0.03%,0.15%,1.88%,17.79%,80.16%,0.14%,0.14%,0.96%,11.25%,87.52%,0.00%,0.00%,0.00%,4.88%,95.12%,0.00%,0.00%,0.00%,1.40%,98.60%,0.00%,0.06%,1.07%,17.82%,81.05%,0.00%,0.00%,0.05%,1.24%,98.71%,0.00%,0.04%,5.72%,16.17%,78.08%,0.00%,0.00%,1.65%,14.40%,83.95%,0.00%,0.00%,12.20%,7.32%,80.49%
24-00,Hampshire County,0.20%,0.74%,4.75%,94.30%,2.87%,7.30%,29.69%,60.14%,4.28%,6.99%,16.23%,72.50%,20.96%,20.07%,26.01%,32.96%,20.96%,20.07%,26.01%,32.96%,0.65%,3.32%,14.41%,81.62%,0.01%,0.04%,0.51%,2.00%,97.44%,0.40%,0.81%,4.35%,10.62%,83.83%,0.15%,0.60%,4.20%,10.80%,84.24%,5.04%,6.68%,16.64%,23.50%,48.15%,1.94%,3.34%,12.65%,18.91%,63.17%,0.00%,0.26%,1.76%,8.47%,89.50%,0.07%,0.37%,2.22%,9.72%,87.62%,1.07%,1.84%,10.16%,19.88%,67.05%,0.72%,2.45%,5.78%,17.74%,73.31%,9.38%,10.29%,17.30%,25.60%,37.43%,5.78%,6.76%,15.59%,25.70%,46.18%,0.00%,1.37%,2.93%,17.54%,78.16%
00-EB,Hartlepool,0.00%,0.17%,1.85%,97.97%,1.77%,5.34%,32.21%,60.68%,0.55%,1.50%,6.10%,91.86%,5.13%,13.88%,28.84%,52.16%,5.13%,13.88%,28.84%,52.16%,,,,,0.00%,0.00%,0.00%,0.23%,99.77%,0.01%,0.05%,0.28%,8.16%,91.51%,0.00%,0.12%,0.24%,3.07%,96.57%,0.60%,1.23%,4.24%,24.84%,69.09%,0.17%,1.18%,1.85%,20.37%,76.43%,,,,,,0.00%,0.00%,0.00%,0.18%,99.82%,0.05%,0.20%,0.74%,4.00%,95.01%,0.00%,0.01%,0.38%,1.35%,98.25%,0.47%,1.48%,4.61%,9.18%,84.26%,0.17%,0.67%,3.70%,11.28%,84.18%,,,,,
26-00,Hertfordshire County,0.12%,0.39%,2.25%,97.25%,1.04%,3.11%,17.67%,78.18%,1.11%,3.13%,9.17%,86.60%,10.18%,14.03%,25.14%,50.65%,10.18%,14.03%,25.14%,50.65%,0.00%,0.16%,5.29%,94.56%,0.03%,0.06%,0.27%,1.38%,98.25%,0.32%,0.71%,1.79%,6.56%,90.62%,0.06%,0.41%,1.79%,7.49%,90.25%,3.30%,5.95%,10.80%,22.70%,57.25%,1.29%,2.47%,6.01%,15.00%,75.22%,0.00%,0.00%,0.39%,8.63%,90.98%,0.04%,0.49%,0.92%,2.47%,96.09%,0.54%,1.34%,2.76%,8.24%,87.12%,0.06%,0.96%,2.49%,7.99%,88.50%,2.82%,10.02%,10.84%,14.78%,61.54%,1.46%,5.82%,5.86%,12.57%,74.30%,0.00%,0.00%,0.00%,2.33%,97.67%
00-QT,Highland,4.62%,6.46%,19.00%,69.92%,21.28%,18.05%,22.93%,37.73%,41.64%,13.63%,18.12%,26.62%,70.92%,12.05%,9.36%,7.66%,70.92%,12.05%,9.36%,7.66%,,,,,12.58%,7.44%,25.54%,12.75%,41.69%,21.69%,11.33%,24.82%,12.31%,29.86%,58.39%,15.12%,20.38%,2.59%,3.52%,73.58%,11.03%,12.65%,1.44%,1.30%,49.93%,14.85%,26.33%,3.51%,5.38%,,,,,,42.03%,9.40%,13.64%,6.10%,28.83%,50.10%,10.18%,9.37%,9.03%,21.32%,89.68%,5.45%,2.36%,1.41%,1.09%,93.64%,3.87%,1.24%,0.66%,0.60%,83.45%,7.95%,3.27%,2.28%,3.05%,,,,,
00-QU,Inverclyde,0.02%,0.76%,7.03%,92.20%,1.89%,3.89%,33.45%,60.77%,6.05%,9.52%,30.60%,53.83%,31.55%,20.37%,27.92%,20.17%,31.55%,20.37%,27.92%,20.17%,,,,,0.00%,0.06%,0.33%,1.38%,98.23%,0.48%,0.89%,0.81%,10.18%,87.64%,0.91%,3.54%,8.29%,11.16%,76.09%,12.00%,9.94%,14.75%,18.68%,44.63%,1.23%,5.68%,8.40%,12.96%,71.73%,,,,,,0.21%,2.22%,1.70%,7.19%,88.68%,1.50%,1.37%,11.15%,17.23%,68.74%,2.95%,8.46%,9.91%,17.35%,61.33%,18.10%,14.93%,18.66%,24.00%,24.30%,7.53%,8.77%,22.59%,21.23%,39.88%,,,,,
00-NA,Sir Ynys Mon - Isle of Anglesey,0.59%,6.75%,22.50%,70.17%,18.82%,27.93%,30.25%,23.00%,2.75%,8.37%,22.52%,66.36%,26.04%,33.10%,26.35%,14.51%,26.04%,33.10%,26.35%,14.51%,,,,,0.76%,6.16%,26.78%,31.65%,34.65%,15.55%,18.22%,32.75%,19.01%,14.47%,1.74%,6.84%,25.53%,49.35%,16.54%,20.41%,27.26%,29.31%,18.21%,4.81%,14.69%,24.78%,34.57%,17.34%,8.61%,,,,,,4.10%,36.98%,27.25%,13.21%,18.46%,20.66%,46.58%,22.10%,8.21%,2.46%,2.64%,32.20%,34.99%,15.84%,14.33%,20.34%,48.03%,21.82%,6.21%,3.60%,17.60%,42.81%,27.08%,7.29%,5.21%,,,,,
